id,sourceid,targetid,relation,prefixrelation
53,N1695091006,R1695091000,includes,jad:includes
54,N1695100702,R1695100701,includes,jad:includes
55,N1695100702,R1695100702,includes,jad:includes
56,N1695100702,R1695100703,includes,jad:includes
57,N1695100703,R1695100704,includes,jad:includes
58,N1695100703,R1695100705,includes,jad:includes
59,N1695100801,R1695100800,includes,jad:includes
60,N1695101700,R1695101700,includes,jad:includes
61,N1695102103,R1695102101,includes,jad:includes
62,N1695102103,R1695102102,includes,jad:includes
63,N1695102302,R1695102301,includes,jad:includes
64,N1695102303,R1695102302,includes,jad:includes
65,N1695120102,R1695120100,includes,jad:includes
66,N1695120403,R1695120400,sameAs,owl:sameAs
67,N1695121507,R1695121500,includes,jad:includes
68,N1695122904,R1695122901,includes,jad:includes
69,N1695122904,R1695122902,includes,jad:includes
70,N1696011006,R1696011001,includes,jad:includes
71,N1696011006,R1696011002,includes,jad:includes
72,N1696011006,R1696011003,includes,jad:includes
73,N1696011006,R1696011004,includes,jad:includes
74,N1696011007,R1696011005,includes,jad:includes
75,N1696011007,R1696011006,includes,jad:includes
76,N1696011007,R1696011007,includes,jad:includes
77,N1696011008,R1696011008,includes,jad:includes
78,N1696011008,R1696011009,includes,jad:includes
79,N1696011008,R1696011010,includes,jad:includes
80,N1696011008,R1696011011,includes,jad:includes
81,N1696011008,R1696011012,includes,jad:includes
82,N1696011008,R1696011013,includes,jad:includes
83,N1696011008,R1696011014,includes,jad:includes
84,N1696011008,R1696011015,includes,jad:includes
85,N1696011008,R1696011016,includes,jad:includes
86,N1696011008,R1696011017,includes,jad:includes
87,N1696011806,R1696011801,includes,jad:includes
88,N1696011806,R1696011802,includes,jad:includes
89,N1696012709,R1696012701,includes,jad:includes
90,N1696012709,R1696012702,includes,jad:includes
91,N1696012709,R1696012703,includes,jad:includes
92,N1696012710,R1696012704,includes,jad:includes
93,N1696012710,R1696012705,includes,jad:includes
94,N1696012710,R1696012706,includes,jad:includes
95,N1696012710,R1696012707,includes,jad:includes
96,N1696012710,R1696012708,includes,jad:includes
97,N1696020201,R1696020200,includes,jad:includes
98,N1696021204,R1696021201,includes,jad:includes
99,N1696021204,R1696021202,includes,jad:includes
100,N1696021204,R1696021203,includes,jad:includes
101,N1696021205,R1696021204,includes,jad:includes
102,N1696021205,R1696021205,includes,jad:includes
103,N1696021700,R1696021700,includes,jad:includes
104,N1696030105,R1696030101,includes,jad:includes
105,N1696030105,R1696030102,includes,jad:includes
106,N1696030501,R1696030500,includes,jad:includes
107,N1696031203,R1696031200,includes,jad:includes
108,N1696031305,R1696031301,includes,jad:includes
109,N1696031305,R1696031302,includes,jad:includes
110,N1696040103,R1696040101,includes,jad:includes
111,N1696040103,R1696040102,includes,jad:includes
112,N1696040605,R1696040601,includes,jad:includes
113,N1696040605,R1696040602,includes,jad:includes
114,N1696040605,R1696040603,includes,jad:includes
115,N1696041405,R1696041400,includes,jad:includes
116,N1696041904,R1696041901,includes,jad:includes
117,N1696041904,R1696041902,includes,jad:includes
118,N1696060107,R1696060101,includes,jad:includes
119,N1696060107,R1696060102,includes,jad:includes
120,N1696060107,R1696060103,includes,jad:includes
121,N1696060108,R1696060104,includes,jad:includes
122,N1696060108,R1696060105,includes,jad:includes
123,N1696060108,R1696060106,includes,jad:includes
124,N1696060108,R1696060107,includes,jad:includes
125,N1696060109,R1696060108,sameAs,owl:sameAs
126,N1696061008,R1696061001,includes,jad:includes
127,N1696061008,R1696061002,includes,jad:includes
128,N1696061009,R1696061003,includes,jad:includes
129,N1696061009,R1696061004,includes,jad:includes
130,N1696061010,R1696061005,includes,jad:includes
131,N1696061010,R1696061006,includes,jad:includes
132,N1696061011,R1696061007,includes,jad:includes
133,N1696061011,R1696061008,includes,jad:includes
134,N1696061011,R1696061009,includes,jad:includes
135,N1696061011,R1696061010,includes,jad:includes
136,N1696061012,R1696061011,includes,jad:includes
137,N1696061012,R1696061012,includes,jad:includes
138,N1696061013,R1696061013,includes,jad:includes
139,N1696061013,R1696061014,includes,jad:includes
140,N1696061014,R1696061015,includes,jad:includes
141,N1696061015,R1696061016,includes,jad:includes
142,N1696061015,R1696061017,includes,jad:includes
143,N1696061016,R1696061018,includes,jad:includes
144,N1696061017,R1696061019,includes,jad:includes
145,N1696061017,R1696061020,includes,jad:includes
146,N1696061017,R1696061021,includes,jad:includes
147,N1696061017,R1696061022,includes,jad:includes
148,N1696061018,R1696061023,includes,jad:includes
149,N1696061018,R1696061024,includes,jad:includes
150,N1696061018,R1696061025,includes,jad:includes
151,N1696061018,R1696061026,includes,jad:includes
152,N1696061018,R1696061027,includes,jad:includes
153,N1696061018,R1696061028,includes,jad:includes
154,N1696061019,R1696061029,includes,jad:includes
155,N1696061019,R1696061030,includes,jad:includes
156,N1696061020,R1696061031,includes,jad:includes
157,N1696061021,R1696061032,includes,jad:includes
158,N1696061021,R1696061033,includes,jad:includes
159,N1696061021,R1696061034,includes,jad:includes
160,N1696061021,R1696061035,includes,jad:includes
161,N1696061021,R1696061036,includes,jad:includes
162,N1696070603,R1696070601,includes,jad:includes
163,N1696070603,R1696070602,includes,jad:includes
164,N1696071200,R1696071200,includes,jad:includes
165,N1696072902,R1696072900,includes,jad:includes
166,N1696082608,R1696082600,includes,jad:includes
167,N1696092103,R1696092100,includes,jad:includes
168,N1696092901,R1696092900,includes,jad:includes
169,N1697010604,R1697010601,sameAs,owl:sameAs
170,N1697010605,R1697010602,sameAs,owl:sameAs
171,N1697021602,R1697021600,includes,jad:includes
172,N1697022610,R1697022601,includes,jad:includes
173,N1697022610,R1697022602,includes,jad:includes
174,N1697022703,R1697022701,includes,jad:includes
175,N1697022704,R1697022702,includes,jad:includes
176,N1697022803,R1697022800,includes,jad:includes
177,N1697023003,R1697023000,includes,jad:includes
178,N1697030303,R1697030300,includes,jad:includes
179,N1697030505,R1697030501,includes,jad:includes
180,N1697030506,R1697030502,includes,jad:includes
181,N1697030702,R1697030700,includes,jad:includes
182,N1697040805,R1697040800,includes,jad:includes
183,N1697052004,R1697052001,includes,jad:includes
184,N1697052005,R1697052002,includes,jad:includes
185,N1697052604,R1697052601,includes,jad:includes
186,N1697052605,R1697052602,includes,jad:includes
187,N1697052704,R1697052700,includes,jad:includes
188,N1697062004,R1697062000,includes,jad:includes
189,N1697070100,R1697070101,includes,jad:includes
190,N1697070100,R1697070102,includes,jad:includes
191,N1697072203,R1697072200,sameAs,owl:sameAs
192,N1697081102,R1697081100,includes,jad:includes
193,N1697081802,R1697081800,includes,jad:includes
194,N1697090703,R1697090700,includes,jad:includes
195,N1697092603,R1697092601,includes,jad:includes
196,N1697092604,R1697092602,includes,jad:includes
197,N1697092604,R1697092603,includes,jad:includes
198,N1697100601,R1697100600,includes,jad:includes
199,N1697111405,R1697111401,includes,jad:includes
200,N1697111405,R1697111402,includes,jad:includes
201,N1697112204,R1697112200,includes,jad:includes
202,N1697121703,R1697121700,includes,jad:includes
203,N1697122102,R1697122100,includes,jad:includes
204,N1697122703,R1697122700,includes,jad:includes
205,N1698011609,R1698011600,includes,jad:includes
206,N1698031605,R1698031601,includes,jad:includes
207,N1698031605,R1698031602,includes,jad:includes
208,N1698040602,R1698040600,includes,jad:includes
209,N1698040800,R1698040800,includes,jad:includes
210,N1698062602,R1698062601,includes,jad:includes
211,N1698062602,R1698062602,includes,jad:includes
212,N1698071103,R1698071101,includes,jad:includes
213,N1698071103,R1698071102,includes,jad:includes
214,N1698071103,R1698071103,includes,jad:includes
215,N1698101803,R1698101800,includes,jad:includes
216,N1698102502,R1698102501,includes,jad:includes
217,N1698102502,R1698102502,includes,jad:includes
218,N1698110702,R1698110700,includes,jad:includes
219,N1698111601,R1698111600,includes,jad:includes
220,N1698112205,R1698112201,includes,jad:includes
221,N1698112205,R1698112202,includes,jad:includes
222,N1698112205,R1698112203,includes,jad:includes
223,N1698120904,R1698120900,includes,jad:includes
224,N1698122502,R1698122500,includes,jad:includes
225,N1698122703,R1698122701,includes,jad:includes
226,N1698122703,R1698122702,includes,jad:includes
227,N1698122703,R1698122703,includes,jad:includes
228,N1698122703,R1698122704,includes,jad:includes
229,N1699032504,R1699032500,includes,jad:includes
230,N1699050402,R1699050401,includes,jad:includes
231,N1699050402,R1699050402,includes,jad:includes
232,N1699050604,R1699050600,includes,jad:includes
233,N1699051102,R1699051101,includes,jad:includes
234,N1699051102,R1699051102,includes,jad:includes
235,N1699060803,R1699060800,includes,jad:includes
236,N1699061702,R1699061700,includes,jad:includes
237,N1699072004L,R1699072001L,includes,jad:includes
238,N1699072004L,R1699072002L,includes,jad:includes
239,N1699072004L,R1699072003L,includes,jad:includes
240,N1699072004L,R1699072004L,includes,jad:includes
241,N1699072502L,R1699072500L,includes,jad:includes
242,N1699072603L,R1699072600L,includes,jad:includes
243,N1699082007,R1699082000,includes,jad:includes
